Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Sampletype,Method.of.detection,Gene,Pathogen,Hosts.studied,Host.positive,Infection.prevalence.host,Ecotype.AP,Sequencing,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.AF,Same.reference,Multiple.species,Notes,Birds
0243,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Muskrat,Ondatra zibethicus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,9,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0244,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Brown rat,Rattus norvegicus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,10,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0245,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Eurasian red squirrel,Sciurus vulgaris,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0246,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Alpine shrew,Sorex alpinus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0247,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Common shrew,Sorex araneus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,33,3,0.09,No,Yes,Yes,"95% CI: 1,92-24,33%",No,NA,No,,No birds
0248,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,26,1,0.04,No,Yes,Yes,"95% CI: 0,10-19,64%",No,NA,No,,No birds
0249,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,Lesser mole rat,Spalax leucodon,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,3,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0250,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,European ground squirrel,Spermophilus citellus,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,14,1,0.07,No,Yes,Yes,"95% CI: 0,18-33,87%",No,NA,No,,No birds
0251,"Matei et al., 2018",Romania,Romania,No,NA,May 2010 - November 2011,European mole,Talpa europaea,Mammal,Scientific capturing,Spleen,nested PCR,rrs,A. phagocytophilum,14,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0252,"Matsumoto et al., 2007",Brittany,France,No,NA,February - July 2002,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Blood,PCR,16S rDNA,A. phagocytophilum,18,2,0.11,No,Yes,No,NA,No,NA,No,Of these animals 17 were also tested in spleen with one positive. However it is not clear if this positive was also positive in spleen or not. Therefor we only include the bloodsamples.,No birds
0253,"Matsumoto et al., 2009",Białowieża Primeval Forest,Poland,No,NA,March 2005,European bison,Bison bonasus,Mammal,Hunting,Blood,nested-PCR,16SrRNA,A. phagocytophilum,5,1,0.20,No,Yes,No,NA,No,NA,No,,No birds
0254,"Michalik et al., 2009","Czarnkow, Krzykosy, Oborniki, Margonin, Miedzychod, Murowana-Goslina, Poniec, Sierakow, Trzcianka and Wielen districts",Poland,No,NA,Summer and fall 2004 and 2005,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,PCR,"16S rDNA, ankA & hge-44",A. phagocytophilum,166,16,0.10,No,Yes,No,NA,AF,"Michalik et al., (2009)",No,,No birds
0255,"Michalik et al., 2009","Czarnkow, Oborniki, Margonin, Miedzychod, Murowana-Goslina, Poniec, Sierakow, Trzcianka and Wielen districts",Poland,No,NA,Fall 2004 and 2005,Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,"16S rDNA, ankA & hge-44",A. phagocytophilum,88,9,0.10,No,Yes,No,NA,AF,"Michalik et al., (2009)",No,,No birds
0256,"Michalik et al., 2009",Margonin and Murowana-Goslina districts,Poland,No,NA,Fall 2004 and 2005,Fallow deer,Dama dama,Mammal,Hunting,Blood,PCR,"16S rDNA, ankA & hge-44",A. phagocytophilum,44,9,0.20,No,Yes,No,NA,AF,"Michalik et al., (2009)",No,,No birds
0257,"Michalik et al., 2012","Zielonka & Katy, Zielonka Primeval Forest",Poland,No,NA,May - December 2006-2008,Wild boar,Sus scrofa,Mammal,Hunting,Blood and liver,Nested PCR,16S rRNA,A. phagocytophilum,325,39,0.12,No,Yes,No,NA,T+AF,"Michalik et al., (2012)",No,"All tested in blood and 24 also tested in liver. 2 pos in liver and blood, 37 positive in blood (not tested in liver)",No birds
0258,"Mogl et al., 2011","Bavaria, Baden-Württemberg and Thuringia",Germany,No,NA,May 2007 - November 2009,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood and skin,real-time PCR,16S rRNA,A. phagocytophilum,106,99,0.93,No,No,Yes,95% CI: 88.7%-98.1%,No,NA,No,"72 positive in blood and skin, 8 positive in blood and 19 positive in skin",No birds
0259,"Mogl et al., 2011",Bavaria and Baden-Württemberg,Germany,No,NA,April-November 2009,Common vole,Microtus arvalis,Mammal,Scientific capturing,Blood and Skin,real-time PCR,16S rRNA,A. phagocytophilum,143,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0260,"Morrondo et al., 2017",Spain,Spain,No,NA,January 2013 - April 2015,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,qPCR,msp4,A. phagocytophilum,76,26,0.34,No,No,Yes,"95% CI: 23,7-46,0%",No,NA,No,,No birds
0261,"Nahayo et al., 2014","Wallonia (N44°42', E06°37' to N49°42', E06°37')",Belgium,No,NA,1st October - 31st December 2011,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,nested PCR,16S rRNA,A. phagocytophilum,513,5,0.01,No,Yes,Yes,"95% CI: 0,12-1,82%",No,NA,No,,No birds
0262,"Obiegala et al., 2014","Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,Bushes and trees less than 20 years old (Renaturated area),March - October in 2012 and January - September 2013,Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0263,"Obiegala et al., 2014","Angelberger Forst (641 ha, 48°06’36.42”N, 10°34’33.40”E), near Tussenhause, Bavaria and Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,"A: Mixed forest, mainly dominated by beeches, oaks and spruces.; L: Bushes and trees less than 20 years old (Renaturated area)",March - October in 2012 and January - September 2013,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,178,1,0.01,No,Yes,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0264,"Obiegala et al., 2014","Dörnbergpark (7.4 ha, 49°00’55.72”N, 12°05’08.89”E), Regensburg, Bavaria",Germany,No,Well-tended park with mostly grassy landscape and only a few old trees such as oaks and maples.,July - October in 2012 and April - September in 2013,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,36,2,0.06,No,Yes,No,95%CI: 1-19%,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0265,"Obiegala et al., 2014","Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,Bushes and trees less than 20 years old (Renaturated area),March - October in 2012 and January - September 2013,Field vole,Microtus agrestis,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0266,"Obiegala et al., 2014","Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,Bushes and trees less than 20 years old (Renaturated area),March - October in 2012 and January - September 2013,Common vole,Microtus arvalis,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,7,1,0.14,No,Yes,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0267,"Obiegala et al., 2014","Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,Bushes and trees less than 20 years old (Renaturated area),March - October in 2012 and January - September 2013,Least weasel,Mustela nivalis,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0268,"Obiegala et al., 2014","Angelberger Forst (641 ha, 48°06’36.42”N, 10°34’33.40”E), near Tussenhause, Bavaria and Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,"A: Mixed forest, mainly dominated by beeches, oaks and spruces.; L: Bushes and trees less than 20 years old (Renaturated area)",March - October in 2012 and January - September 2013,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,396,3,0.01,No,Yes,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0269,"Obiegala et al., 2014","Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,Bushes and trees less than 20 years old (Renaturated area),March - October in 2012 and January - September 2014,Common shrew,Sorex araneus,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0270,"Obiegala et al., 2014","Angelberger Forst (641 ha, 48°06’36.42”N, 10°34’33.40”E), near Tussenhause, Bavaria",Germany,No,"Mixed forest, mainly dominated by beeches, oaks and spruces.",March - October in 2012 and January - September 2014,Crowned shrew,Sorex coronatus,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,5,0,0.00,NA,NA,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0271,"Obiegala et al., 2014","Leipziger Neuseenland (51°15'32.2''N, 12°21'02.5""E, 51°17'01.3''N, 12°21'00.6''E, 51°26’97.2''N, 12°32’25.6''E) in Saxony",Germany,No,Bushes and trees less than 20 years old (Renaturated area),March - October in 2012 and January - September 2013,European mole,Talpa europaea,Mammal,Scientific capturing,Blood and spleen,real-time PCR,msp2,A. phagocytophilum,1,0,0.00,NA,NA,No,NA,T,"Obiegala et al., (2014)",No,"Total of small mammals is 37 only blood, 188 only spleen and 406 blood+spleen. However, not clear per species.",No birds
0272,"Ogden et al., 1998","Dorset, southern England",UK,No,Oak (Quercus spp.) and ash (Fraxinus excelsior) woodland with occasional conifers (Pinus sylvestris).,May 1996,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,"Granulocytic Ehrlichiae (E. phagocytophila, E. equi and the HGE agent)",21,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0273,"Ogden et al., 1998","Dorset, southern England",UK,No,Oak (Quercus spp.) and ash (Fraxinus excelsior) woodland with occasional conifers (Pinus sylvestris).,May 1996,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Blood,nested PCR,16S rRNA,"Granulocytic Ehrlichiae (E. phagocytophila, E. equi and the HGE agent)",26,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0274,"Ogden et al., 1998","Dorset, southern England",UK,No,Oak (Quercus spp.) and ash (Fraxinus excelsior) woodland with occasional conifers (Pinus sylvestris).,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,nested PCR,16S rRNA,"Granulocytic Ehrlichiae (E. phagocytophila, E. equi and the HGE agent)",12,0,0.00,NA,NA,No,NA,AF,"Ogden et al., (1998)",No,,No birds
0275,"Ogden et al., 1998","Dorset, southern England",UK,No,Oak (Quercus spp.) and ash (Fraxinus excelsior) woodland with occasional conifers (Pinus sylvestris).,May 1996,Common pheasant,Phasianus colchicus,Bird,Hunting,Blood,nested PCR,16S rRNA,"Granulocytic Ehrlichiae (E. phagocytophila, E. equi and the HGE agent)",24,0,0.00,NA,NA,No,NA,AF,"Ogden et al., (1998)",No,,Resident birds
0276,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,Spring and Autumn 1999-2000,Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,"Liver, spleen and ear",nested PCR,16S rRNA,A. phagocytophilum,4,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0277,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,Spring and Autumn 1999-2000,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,"Liver, spleen and ear",nested PCR,16S rRNA,A. phagocytophilum,43,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0278,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,2001-2002,European roe deer,Capreolus capreolus,Mammal,"Hunted, run over or found dead",Spleen,nested PCR,16S rRNA,A. phagocytophilum,29,11,0.38,No,Yes,No ,NA,No,NA,No,,No birds
0279,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,Spring and Autumn 1999-2000,Greater white-toothed shrew,Crocidura russula,Mammal,Scientific capturing,"Liver, spleen and ear",nested PCR,16S rRNA,A. phagocytophilum,7,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0280,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,Spring and Autumn 1999-2000,Bank vole,Myodes glareolus,Mammal,Scientific capturing,"Liver, spleen and ear",nested PCR,16S rRNA,A. phagocytophilum,11,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0281,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,Spring and Autumn 1999-2000,Crowned shrew,Sorex coronatus,Mammal,Scientific capturing,"Liver, spleen and ear",nested PCR,16S rRNA,A. phagocytophilum,11,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0282,"Oporto et al., 2003",Basque country,Spain,No,Woode areas,Spring and Autumn 1999-2000,Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,"Liver, spleen and ear",nested PCR,16S rRNA,A. phagocytophilum,1,0,0.00,NA,NA,No ,NA,No,NA,No,,No birds
0283,"Overzier et al., 2013b","Angelberger Forst near Tussenhausen, Bavaria",Germany,No,"Mixed forest with mainly beech-grove (Fagus sylvatica), in places fir (Abies), oak (Quercus), and spruce (Picea) on fine loam",September 2010 - January 2012,European roe deer,Capreolus capreolus,Mammal,Hunted and one road kill,Spleen and blood,real-time and nested PCR,16S rRNA,A. phagocytophilum,95,94,0.99,No,Yes,Yes,"95% CI: 94,3-100%",AF,"Overzier et al., (2013b)",No,"All animals tested in spleen and 86 in blood. 84 positive in blood and spleen, 10 positive in spleen. All negative blood was also negative in spleen. 56 were also tested in skin, of which 40 were positive. But it is not clear how many of these were also positive in spleen and/or blood. Thus we excluded the skinsamples.",No birds
0284,"Pereira et al., 2016","Castelo Branco, Portalegre, Lisboa, Evora and Beja districts",Portugal,No,NA,Hunting seasons from December 2013 to March 2015,Red deer,Cervus elaphus,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,73,8,0.11,No,No,No,95% CI only given for Anaplasma spp.,No,NA,No,,No birds
0285,"Pereira et al., 2016","Castelo Branco, Portalegre, Lisboa, Evora and Beja districts",Portugal,No,NA,Hunting seasons from December 2013 to March 2015,Fallow deer,Dama dama,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,3,0,0.00,NA,NA,No,95% CI only given for Anaplasma spp.,No,NA,No,,No birds
0286,"Pereira et al., 2016","Castelo Branco, Portalegre, Lisboa, Evora and Beja districts",Portugal,No,NA,Hunting seasons from December 2013 to March 2015,Wild boar,Sus scrofa,Mammal,Hunting,Blood,PCR,16S rRNA,A. phagocytophilum,65,0,0.00,NA,NA,No,95% CI only given for Anaplasma spp.,AF,"Pereira et al., (2018)",No,,No birds
0287,"Perez et al., 2017","Zone Atelier Armorique, north-eastern Brittany (48°30’ N, 1°32’ W)",France,No,"Agricultural area is mainly dedicated to cropping (wheat and maize) and livestock (cattle pastures) with traditional hedgerow networks between land patches (notably pedunculated oaks, Quercus robur, and chestnut trees, Castanea sativa). In its south-eastern part, this area also includes an exploited deciduous forest of 979 ha composed mainly of beeches (Fagus sylvatica) and pedunculated oaks.",Spring and Autumm 2012 and spring 2013,Long-tailed field mouse,Apodemus sylvaticus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,452,20,0.04,No,No,No,NA,T ,"Perez et al., (2017)",No,,No birds
0288,"Perez et al., 2017","Zone Atelier Armorique, north-eastern Brittany (48°30’ N, 1°32’ W)",France,No,"Agricultural area is mainly dedicated to cropping (wheat and maize) and livestock (cattle pastures) with traditional hedgerow networks between land patches (notably pedunculated oaks, Quercus robur, and chestnut trees, Castanea sativa). In its south-eastern part, this area also includes an exploited deciduous forest of 979 ha composed mainly of beeches (Fagus sylvatica) and pedunculated oaks.",Spring and Autumm 2012 and spring 2013,Bank vole,Myodes glareolus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,147,20,0.14,No,No,No,NA,T,"Perez et al., (2017)",No,,No birds
0289,"Perez et al., 2017","Zone Atelier Armorique, north-eastern Brittany (48°30’ N, 1°32’ W)",France,No,"Agricultural area is mainly dedicated to cropping (wheat and maize) and livestock (cattle pastures) with traditional hedgerow networks between land patches (notably pedunculated oaks, Quercus robur, and chestnut trees, Castanea sativa). In its south-eastern part, this area also includes an exploited deciduous forest of 979 ha composed mainly of beeches (Fagus sylvatica) and pedunculated oaks.",Spring and autumn 2012,Field vole,Microtus agrestis,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,4,0,0.00,NA,NA,No,NA,T,"Perez et al., (2017)",No,,No birds
0290,"Perez et al., 2017","Zone Atelier Armorique, north-eastern Brittany (48°30’ N, 1°32’ W)",France,No,"Agricultural area is mainly dedicated to cropping (wheat and maize) and livestock (cattle pastures) with traditional hedgerow networks between land patches (notably pedunculated oaks, Quercus robur, and chestnut trees, Castanea sativa). In its south-eastern part, this area also includes an exploited deciduous forest of 979 ha composed mainly of beeches (Fagus sylvatica) and pedunculated oaks.",Spring and autumn 2013,European pine vole,Microtus subterraneus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,2,0,0.00,NA,NA,No,NA,T,"Perez et al., (2017)",No,,No birds
0291,"Perez et al., 2017","Zone Atelier Armorique, north-eastern Brittany (48°30’ N, 1°32’ W)",France,No,"Agricultural area is mainly dedicated to cropping (wheat and maize) and livestock (cattle pastures) with traditional hedgerow networks between land patches (notably pedunculated oaks, Quercus robur, and chestnut trees, Castanea sativa). In its south-eastern part, this area also includes an exploited deciduous forest of 979 ha composed mainly of beeches (Fagus sylvatica) and pedunculated oaks.","Autumn 2012, Spring and Autumn 2013",Crowned shrew,Sorex coronatus,Mammal,Scientific capturing,Ear and spleen,real-time PCR,msp2,A. phagocytophilum,3,2,0.67,No,No,No,NA,T,"Perez et al., (2017)",No,,No birds
0292,"Petrovec et al., 2002",Slovenia,Slovenia,No,NA,"May - November in 1996, 1997 amd 1998",European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,PCR and nested PCR,16S rDNA and groESL,A. phagocytophilum,56,48,0.86,No,Yes,No,NA,No,NA,No,,No birds
0293,"Petrovec et al., 2002",Slovenia,Slovenia,No,NA,"May - November in 1996, 1997 amd 1998",Red deer,Cervus elaphus,Mammal,Hunting,Spleen,PCR and nested PCR,16S rDNA and groESL,A. phagocytophilum,32,28,0.88,No,Yes,No,NA,No,NA,No,,No birds
0294,"Petrovec et al., 2003",Austria,Austria,No,NA,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,PCR,16S rRNA,A. phagocytophilum,54,40,0.74,No,Yes,No,NA,No,NA,No,,No birds
0295,"Petrovec et al., 2003",Znojmo,Czech Republic,No,NA,NA,European roe deer,Capreolus capreolus,Mammal,Hunting,Spleen,PCR,16S rRNA,A. phagocytophilum,22,7,0.32,No,Yes,No,NA,No,NA,No,,No birds
0296,"Petrovec et al., 2003",Znojmo,Czech Republic,No,NA,NA,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,PCR,16S rRNA,A. phagocytophilum,63,9,0.14,No,Yes,No,NA,No,NA,No,,No birds
0297,"Petrovec et al., 2003",Austria,Austria,No,NA,NA,Red fox,Vulpes vulpes,Mammal,Hunting,Spleen,PCR,16S rRNA,A. phagocytophilum,8,2,0.25,No,Yes,No,NA,No,NA,No,,No birds
0298,"Polin et al., 2004",Austria,Austria,No,NA,June - December (year unknown),European roe deer,Capreolus capreolus,Mammal,Hunting,Liver,Real-time PCR,groESL,A. phagocytophilum,121,52,0.43,No,No,No,NA,No,NA,No,,No birds
0299,"Polin et al., 2004",Austria,Austria,No,NA,NA,Red deer,Cervus elaphus,Mammal,Hunting,Liver,Real-time PCR,groESL,A. phagocytophilum,7,2,0.29,No,No,No,NA,No,NA,No,,No birds
0300,"Polin et al., 2004",Austria,Austria,No,NA,NA,European hare,Lepus europaeus,Mammal,Hunting,Liver,Real-time PCR,groESL,A. phagocytophilum,20,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0301,"Polin et al., 2004",Austria,Austria,No,NA,NA,Wild boar,Sus scrofa,Mammal,Hunting,Spleen,Real-time PCR,groESL,A. phagocytophilum,179,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0302,"Portillo et al., 2011",La Rioja,Spain,No,NA,2005–2006 hunting season,Wild boar,Sus scrofa,Mammal,Hunting,Blood,nested PCR,16S rRNA,A. phagocytophilum,13,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0303,"Portillo et al., 2011",La Rioja,Spain,No,NA,2005–2006 hunting season,Red deer,Cervus elaphus,Mammal,Hunting,Blood,nested PCR,16S rRNA,A. phagocytophilum,21,5,0.24,No,Yes,No,NA,AF,"Portillo et al., (2011)",No,,No birds
0304,"Puraite et al., 2015","Grimstad, Arendal, Vegårdshei, Evje og Hornes, Tvedestrand, Froland, Lillesand and Birkenes municipality in Aust-Agder County",Norway,No,"Young, medium and old-age coniferous, deciduous and mixed stands",25 September - 15 November in 2013 and 2014,Eurasian elk,Alces alces,Mammal,Hunting,Spleen,nested PCR,msp4 and 16S rRNA,A. phagocytophilum,70,30,0.43,No,Yes,No,NA,No,NA,No,,No birds
0305,"Reiterova et al., 2016","Rimavská Sobota, Revúca and Roznava",Slovakia,No,NA,October - December 2010-2011,Wild boar,Sus scrofa,Mammal,Hunting,Blood,qPCR and cPCR,msp2,A. phagocytophilum,113,3,0.03,No,Yes,No,NA,No,NA,No,,No birds
0306,"Rigo et al., 2011",Southeastern Hungary,Hungary,No,Grasslands and oak woods,"April, July, October, and November 2009",Striped field mouse,Apodemus agrarius,Mammal,Scientific capturing,"Lung, liver, spleen, and kidney",PCR,MSP4,A. phagocytophilum,15,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0307,"Rigo et al., 2011",Southeastern Hungary,Hungary,No,Grasslands and oak woods,"April, July, October, and November 2009",Yellow-necked field mouse,Apodemus flavicollis,Mammal,Scientific capturing,"Lung, liver, spleen, and kidney",PCR,MSP4,A. phagocytophilum,110,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0308,"Rigo et al., 2011",Southeastern Hungary,Hungary,No,Grasslands and oak woods,May and October 2009,Common hamster,Cricetus cricetus,Mammal,Scientific capturing,"Lung, liver, spleen, and kidney",PCR,MSP4,A. phagocytophilum,100,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0309,"Rigo et al., 2011",Southeastern Hungary,Hungary,No,Grasslands and oak woods,"April, July, October, and November 2009",Common vole,Microtus arvalis,Mammal,Scientific capturing,"Lung, liver, spleen, and kidney",PCR,MSP4,A. phagocytophilum,38,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0310,"Rigo et al., 2011",Southeastern Hungary,Hungary,No,Grasslands and oak woods,"April, July, October, and November 2009",Common shrew,Sorex araneus,Mammal,Scientific capturing,"Lung, liver, spleen, and kidney",PCR,MSP4,A. phagocytophilum,6,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0311,"Rigo et al., 2011",Southeastern Hungary,Hungary,No,Grasslands and oak woods,"April, July, October, and November 2009",Eurasian pygmy shrew,Sorex minutus,Mammal,Scientific capturing,"Lung, liver, spleen, and kidney",PCR,MSP4,A. phagocytophilum,8,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
0312,"Robinson et al., 2009","The New Forest, west of the city of Southhampton",UK,No,Deciduous and coniferous forest intermixed with pasture,December 2007 - February 2008,European roe deer,Capreolus capreolus,Mammal,Hunting,Blood,real-time PCR,msp2,A. phagocytophilum,5,1,0.20,No,No,Yes,"CI: 0,01-0,70",No,NA,No,,No birds
0313,"Robinson et al., 2009","The New Forest, west of the city of Southhampton",UK,No,Deciduous and coniferous forest intermixed with pasture,December 2007 - February 2008,Red deer,Cervus elaphus,Mammal,Hunting,Blood,real-time PCR,msp2,A. phagocytophilum,5,4,0.80,No,No,Yes,"CI: 0,30-0,99",No,NA,No,,No birds
0314,"Robinson et al., 2009","The New Forest, west of the city of Southhampton",UK,No,Deciduous and coniferous forest intermixed with pasture,December 2007 - February 2008,Sika deer,Cervus nippon,Mammal,Hunting,Blood,real-time PCR,msp2,A. phagocytophilum,12,6,0.50,No,No,Yes,"CI: 0,22-0,78",No,NA,No,,No birds
0315,"Robinson et al., 2009","The New Forest, west of the city of Southhampton",UK,No,Deciduous and coniferous forest intermixed with pasture,December 2007 - February 2008,Fallow deer,Dama dama,Mammal,Hunting,Blood,real-time PCR,msp2,A. phagocytophilum,58,12,0.21,No,No,Yes,"CI: 0,15-0,34",No,NA,No,,No birds
0316,"Rocchigiani et al., 2018",Province of Pisa (Central Italy; 43°43′N–10°24′E),Italy,No,NA,2016-2017 winter,European hare,Lepus europaeus,Mammal,Scientific capturing,Blood,PCR,16S rRNA,A. phagocytophilum,51,0,0.00,NA,NA,No,NA,No,NA,No,,No birds
