Row,Author,Location,Country,Mult.country,Habitat.type,Moment,Species.English,Species.scientific,Host.taxonomic.class,Sampling.method,Method.of.detection,Pathogen,Tick.hosts,Hosts.studied,Genospecies.identification,Larvae.tested,Larvae.positive,Larval.infection.prevalence,Nymphs.tested,Nymphs.positive,Nymphal.infection.prevalence,Adults.tested,Adults.positive,Adult.infection.prevalence,Hosts.with.infected.ticks,Any.SD..SE.or.CI.given,Note.on.confidence,Same.animals.T.BH,Same.reference,Multiple.species,Notes,Birds,Additional.data.email,Total.ticks.tested,Total.ticks.positive,Total.ticks.infection.prevalence,Data.collection,Double.ext
204,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.16",The Netherlands and Belgium,Yes,NA,2012-2014,Sedge warbler,Acrocephalus schoenobaenus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
205,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian skylark,Alauda arvensis,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
206,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.17",The Netherlands and Belgium,Yes,NA,2012-2014,Meadow pipit,Anthus pratensis,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
207,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Mistle thrush,Turdus viscivorus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,Yes,1,1,1.00,0,NA,NA,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
208,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.18",The Netherlands and Belgium,Yes,NA,2012-2014,Eurasian siskin,Carduelis spinus,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
209,"Heylen et al., 2017","The Netherlands (Eemshaven: 53°26′18.91″N, 6°50′7.77″E; Hijkerveld: 51°52′16.15″N, 4°28′49.84″E; Schiermonnikoog: 53°29′21.74″N, 6°13′51.27″E; Almere Oostvaardersdijk: 52°24′20.19″N, 5°10′40.45″E; Ankeveen: 52°15′51.19″N, 5°5′53.71″E; Nunspeet: 52°23′29.33″N, 5°49′15.12″E; and Oud Naarden: 52°18′16.93″N, 5°11′32.29″E) and Belgium (Merksplas: 51°21′29.48″N, 4°51′48.77″E; Vorselaar: 51°12′9.08″N, 4°46′15.17″E; Wilrijk: 51°10′5.91″N, 4°23′39.43″E; and Brecht: 51°20′58.75″N, 4°38′15.80″E)",The Netherlands and Belgium,Yes,NA,2012-2014,Icterine warbler,Hippolais icterina,Bird,Scientific capturing,Duplex qPCR,B. burgdorferi s.l.,1,NA,NA,0,NA,NA,1,0,0.00,0,NA,NA,NA,No,NA,No,NA,No,,Migratory birds,No,,,,L,No
210,"Hofmeester et al., 2018",The Netherlands and Flanders,The Netherlands and Belgium,Yes,"Forests, agricultural fields and urbanized areas",1995-2015,European badger,Meles meles,Mammal,Road-killed ,Duplex qPCR,B. burgdorferi s.l.,5,123,No,0,NA,NA,1,0,0.00,11,5,0.45,3,No,NA,BH,"Hofmeester et al., 2018",No,,No birds,No,,,,L,No
211,"Hofmeester et al., 2018",The Netherlands and Flanders,The Netherlands and Belgium,Yes,"Forests, agricultural fields and urbanized areas",1995-2015,European polecat,Mustela putorius,Mammal,Road-killed ,Duplex qPCR,B. burgdorferi s.l.,43,385,No,1,0,0.00,9,0,0.00,46,4,0.09,4,No,NA,BH,"Hofmeester et al., 2018",No,,No birds,No,,,,L,No
212,"Hofmeester et al., 2018",The Netherlands and Flanders,The Netherlands and Belgium,Yes,"Forests, agricultural fields and urbanized areas",1995-2015,European pine marten,Martes martes,Mammal,Road-killed ,Duplex qPCR,B. burgdorferi s.l.,33,53,No,15,0,0.00,27,2,0.07,57,4,0.07,6,No,NA,BH,"Hofmeester et al., 2018",No,,No birds,No,,,,L,No
213,"Hofmeester et al., 2018",The Netherlands and Flanders,The Netherlands and Belgium,Yes,"Forests, agricultural fields and urbanized areas",1995-2015,Beech marten,Martes foina,Mammal,Road-killed ,Duplex qPCR,B. burgdorferi s.l.,22,76,No,1,0,0.00,3,1,0.33,44,8,0.18,5,No,NA,BH,"Hofmeester et al., 2018",No,,No birds,No,,,,L,No
214,"Hornok et al., 2013b",Duna-Ipoly National Park,Hungary,No,,June-August 2011,Great tit,Parus major,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,4,1,0.25,0,NA,NA,,,,,,No,,No birds,,4,1,0.25,H,Yes
215,"Hornok et al., 2013b",Duna-Ipoly National Park,Hungary,No,,June-August 2011,Redwing thrush,Turdus iliacus,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,,No birds,,1,1,1.00,H,Yes
216,"Hornok et al., 2013b",Duna-Ipoly National Park,Hungary,No,,June-August 2011,Savi's warbler,Locustella luscinioides,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,1,1,1.00,0,NA,NA,,,,,,No,,No birds,,1,1,1.00,H,Yes
217,"Hornok et al., 2013b",Duna-Ipoly National Park,Hungary,No,,June-August 2011,Common blackbird,Turdus merula,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,4,2,0.50,0,NA,NA,,,,,,No,,No birds,,4,2,0.50,H,Yes
218,"Hornok et al., 2013b",Duna-Ipoly National Park,Hungary,No,,June-August 2011,European robin,Erithacus rubecula,Bird,,PCR,B. burgdorferi s.l.,,,No,0,NA,NA,32,1,0.03,0,NA,NA,,,,,,No,,No birds,,32,1,0.03,H,Yes
219,"Hornok et al., 2013b",Duna-Ipoly National Park,Hungary,No,,June-August 2011,Dunnock,Prunella modularis,Bird,,PCR,B. burgdorferi s.l.,,,No,1,1,1.00,2,1,0.50,0,NA,NA,,,,,,No,,No birds,,3,2,0.67,H,Yes
220,"Huegli et al., 2002",Switzerland,Switzerland,No,,May to September 2000,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,PCR and RFLP,B. burgdorferi s.l.,,,Yes,80,57,0.71,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,80,57,0.71,H,Yes
221,"Huegli et al., 2002",Switzerland,Switzerland,No,,May to September 2000,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,PCR and RFLP,B. burgdorferi s.l.,,,Yes,20,11,0.55,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,20,11,0.55,H,Yes
222,"Humair & Gern, 1998",Neuchatel,Switzerland,No,,"March 1994, April 1996 and June 1996",Eurasian red squirrel,Sciurus vulgaris,Mammal,,Culture & PCR-RFLP,B. burgdorferi s.l.,,,Yes,16,8,0.50,211,80,0.38,0,NA,NA,,,,,,No,,No birds,,227,88,0.39,H,Yes
223,"Humair et al., 1993a","Staatswald, Berne",Switzerland,No,,,Field vole,Microtus agrestis,Mammal,,DIF,B. burgdorferi s.l.,,,NA,23,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,23,0,0.00,H,Yes
224,"Humair et al., 1993a","Staatswald, Berne",Switzerland,No,,,Apodemus spp.,Apodemus spp.,Mammal,,DIF,B. burgdorferi s.l.,,,NA,8,0,0.00,0,NA,NA,0,NA,NA,,,,,,Half,,No birds,,8,0,0.00,H,Yes
225,"Humair et al., 1993a","Staatswald, Berne",Switzerland,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,DIF,B. burgdorferi s.l.,,,No,596,48,0.08,10,7,0.70,0,NA,NA,,,,,,No,,No birds,,606,55,0.09,H,Yes
226,"Humair et al., 1993a","Staatswald, Berne",Switzerland,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,DIF,B. burgdorferi s.l.,,,No,378,91,0.24,3,2,0.67,0,NA,NA,,,,,,No,,No birds,,381,93,0.24,H,Yes
227,"Humair et al., 1993a","Staatswald, Berne",Switzerland,No,,,Bank vole,Myodes glareolus,Mammal,,DIF,B. burgdorferi s.l.,,,No,372,54,0.15,13,4,0.31,0,NA,NA,,,,,,No,,No birds,,385,58,0.15,H,Yes
228,"Humair et al., 1993a","Staatswald, Berne",Switzerland,No,,,Common shrew,Sorex araneus,Mammal,,DIF,B. burgdorferi s.l.,,,No,109,11,0.10,0,NA,NA,0,NA,NA,,,,,,No,,No birds,,109,11,0.10,H,Yes
229,"Humair et al., 1993b",Berne ,Switzerland,No,,,Eurasian jay,Garrulus glandarius,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,2,0,0.00,H,Yes
230,"Humair et al., 1993b",Berne ,Switzerland,No,,,Blue tit,Cyanistes caeruleus,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
231,"Humair et al., 1993b",Berne ,Switzerland,No,,,Coal tit,Periparus ater,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,5,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Resident birds,,5,0,0.00,H,Yes
232,"Humair et al., 1993b",Berne ,Switzerland,No,,,Marsh tit,Poecile palustris,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,2,0,0.00,2,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,4,0,0.00,H,Yes
233,"Humair et al., 1993b",Berne ,Switzerland,No,,,Eurasian wren,Troglodytes troglodytes,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,10,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,11,0,0.00,H,Yes
234,"Humair et al., 1993b",Berne ,Switzerland,No,,,Eurasian nuthatch,Sitta europaea,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,2,0,0.00,4,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,6,0,0.00,H,Yes
235,"Humair et al., 1993b",Berne ,Switzerland,No,,,Garden warbler,Sylvia borin,Bird,,Culture & DIF,B. burgdorferi s.l.,,,NA,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
236,"Humair et al., 1993b",Berne ,Switzerland,No,,,Common chaffinch,Fringilla coelebs,Bird,,Culture & DIF,B. burgdorferi s.l.,,,No,5,0,0.00,4,1,0.25,0,NA,NA,,,,,,No,,Resident birds,,9,1,0.11,H,Yes
237,"Humair et al., 1993b",Berne ,Switzerland,No,,,Great tit,Parus major,Bird,,Culture & DIF,B. burgdorferi s.l.,,,No,35,3,0.09,8,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,43,3,0.07,H,Yes
238,"Humair et al., 1993b",Berne ,Switzerland,No,,,European robin,Erithacus rubecula,Bird,,Culture & DIF,B. burgdorferi s.l.,,,No,129,23,0.18,28,1,0.04,0,NA,NA,,,,,,No,,Resident birds,,157,24,0.15,H,Yes
239,"Humair et al., 1993b",Berne ,Switzerland,No,,,Common blackbird,Turdus merula,Bird,,Culture & DIF,B. burgdorferi s.l.,,,No,30,6,0.20,75,23,0.31,0,NA,NA,,,,,,No,,Resident birds,,105,29,0.28,H,Yes
240,"Humair et al., 1993b",Berne ,Switzerland,No,,,Song thrush,Turdus philomelos,Bird,,Culture & DIF,B. burgdorferi s.l.,,,No,18,7,0.39,11,5,0.45,0,NA,NA,,,,,,No,,Resident birds,,29,12,0.41,H,Yes
241,"Humair et al., 1993b",Berne ,Switzerland,No,,,Eurasian blackcap,Sylvia atricapilla,Bird,,Culture & DIF,B. burgdorferi s.l.,,,No,8,1,0.13,3,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,11,1,0.09,H,Yes
242,"Humair et al., 1999",Glutschbachtal,Switzerland,No,,,Field vole,Microtus agrestis,Mammal,,"Darkfield microscopy, SDS-PAGE, Western blot and PCR/RFLP",B. afzelii,,,NA,119,0,0.00,NA,NA,NA,NA,NA,NA,,,,,,No,,No birds,,119,0,0.00,H,Yes
243,"Humair et al., 1999",Glutschbachtal,Switzerland,No,,,Apodemus spp.,Apodemus spp.,Mammal,,"Darkfield microscopy, SDS-PAGE, Western blot and PCR/RFLP",B. afzelii,,,NA,4,0,0.00,NA,NA,NA,NA,NA,NA,,,,,,Half,,No birds,,4,0,0.00,H,Yes
244,"Humair et al., 1999",Glutschbachtal,Switzerland,No,,,Long-tailed field mouse,Apodemus sylvaticus,Mammal,,"Darkfield microscopy, SDS-PAGE, Western blot and PCR/RFLP",B. afzelii,,,No,319,76,0.24,NA,NA,NA,NA,NA,NA,,,,,,No,,No birds,,319,76,0.24,H,Yes
245,"Humair et al., 1999",Glutschbachtal,Switzerland,No,,,Bank vole,Myodes glareolus,Mammal,,"Darkfield microscopy, SDS-PAGE, Western blot and PCR/RFLP",B. afzelii,,,No,149,50,0.34,NA,NA,NA,NA,NA,NA,,,,,,No,,No birds,,149,50,0.34,H,Yes
246,"Humair et al., 1999",Glutschbachtal,Switzerland,No,,,Yellow-necked field mouse,Apodemus flavicollis,Mammal,,"Darkfield microscopy, SDS-PAGE, Western blot and PCR/RFLP",B. afzelii,,,No,92,2,0.02,NA,NA,NA,NA,NA,NA,,,,,,No,,No birds,,92,2,0.02,H,Yes
247,"Jaenson & Tälleklint, 1992",Sweden,Sweden,No,,August 1991 and 1992; and October-November 1990,European roe deer,Capreolus capreolus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,NA,238,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,ticks were tested as derived nymphs,No birds,,238,0,0.00,H,Yes
248,"Jaenson & Talleklint, 1996",Sweden,Sweden,No,,August and September 1992-1993,Mountain hare,Lepus timidus,Mammal,,Phase-contrast microscopy,B. burgdorferi s.l.,,,No,386,83,0.22,0,NA,NA,0,NA,NA,,,,,,No,ticks were tested as derived nymphs,No birds,,386,83,0.22,H,Yes
249,"Jahfari et al., 2017",Herenthout and Heusen-Zolder,Belgium,No,Gardens and urban areas,April-October 2014-2015,Western European hedgehog,Erinaceus europaeus,Mammal,Civilian capture,Mulitplex real-time PCR,B. burgdorferi s.l.,54,54,Yes,7,1,0.14,28,20,0.71,37,16,0.43,28,No,NA,No,NA,No,,No birds,No,,,,L,No
250,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia ,No,Deciduous forests,Hunting season 2011-2014,Fallow deer,Dama dama,Mammal,Hunting,PCR,B. burgdorferi s.l. ,NA,22,Yes,0,NA,NA,101,2,0.02,16,1,0.06,NA,No,NA,BH,"Kazimirova et al., 2018",No,,No birds,No,,,,L,No
251,"Kazimirova et al., 2018",Small Carpathian Mountains,Slovakia ,No,Deciduous forests,Hunting season 2011-2014,European roe deer,Capreolus capreolus,Mammal,Hunting,PCR,B. burgdorferi s.l.,NA,14,Yes,0,NA,NA,59,2,0.03,0,NA,NA,NA,No,NA,BH,"Kazimirova et al., 2018",No,,No birds,No,,,,L,No
252,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Marsh warbler,Acrocephalus palustris,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,4,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,4,0,0.00,H,Yes
253,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,European robin,Erithacus rubecula,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,3,0,0.00,4,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,7,0,0.00,H,Yes
254,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Great tit,Parus major,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,6,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,6,0,0.00,H,Yes
255,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Eurasian bullfinch,Pyrrhula pyrrhula,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,8,2,0.25,0,NA,NA,,,,,,No,,Migratory birds,,8,2,0.25,H,Yes
256,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,3,0,0.00,6,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,9,0,0.00,H,Yes
257,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Garden warbler,Sylvia borin,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
258,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Common blackbird,Turdus merula,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,1,1,1.00,23,7,0.30,0,NA,NA,,,,,,No,,Migratory birds,,24,8,0.33,H,Yes
259,"Kipp et al., 2006",Thuringia,Germany ,No,,March to October 2004,Song thrush,Turdus philomelos,Bird,,PCR-RFLP,B. burgdorferi s.l.,,,Yes,10,4,0.40,63,24,0.38,0,NA,NA,,,,,,No,,Migratory birds,,73,28,0.38,H,Yes
260,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Great reed warbler,Acrocephalus arundinaceus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
261,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Marsh warbler,Acrocephalus palustris,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
262,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Eurasian reed warbler,Acrocephalus scirpaceus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
263,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Meadow pipit,Anthus pratensis,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
264,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Tree pipit,Anthus trivialis,Bird,,PCR,B. burgdorferi s.l.,,,Yes,8,0,0.00,10,1,0.10,0,NA,NA,,,,,,No,,Migratory birds,,18,1,0.06,H,Yes
265,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common linnet,Carduelis cannabina,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
266,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Eurasian goldfinch,Carduelis carduelis,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
267,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,European greenfinch,Carduelis chloris,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
268,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common redpoll,Carduelis flammea,Bird,,PCR,B. burgdorferi s.l.,,,Yes,3,0,0.00,2,0,0.00,0,NA,NA,,,,,,No,subsp. Cabaret,Migratory birds,,5,0,0.00,H,Yes
269,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common rosefinch,Carpodacus erythrinus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
270,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Hawfinch,Coccothraustes coccothraustes,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,2,0,0.00,H,Yes
271,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Blue tit,Cyanistes caeruleus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,5,0,0.00,0,NA,NA,,,,,,No,,Resident birds,,6,0,0.00,H,Yes
272,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Reed bunting,Emberiza schoeniclus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,2,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
273,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,European robin,Erithacus rubecula,Bird,,PCR,B. burgdorferi s.l.,,,Yes,37,0,0.00,26,1,0.04,0,NA,NA,,,,,,No,,Migratory birds,,63,1,0.02,H,Yes
274,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common chaffinch,Fringilla coelebs,Bird,,PCR,B. burgdorferi s.l.,,,Yes,323,7,0.02,40,2,0.05,0,NA,NA,,,,,,No,,Migratory birds,,363,9,0.02,H,Yes
275,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Brambling,Fringilla montifringilla,Bird,,PCR,B. burgdorferi s.l.,,,Yes,2,0,0.00,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,3,0,0.00,H,Yes
276,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,European crested tit,Lophophanes cristatus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
277,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Bluethroat,Luscinia svecica,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
278,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Western yellow wagtail,Motacilla flava,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
279,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Northern wheatear,Oenanthe oenanthe,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
280,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Great tit,Parus major,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Resident birds,,1,0,0.00,H,Yes
281,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common chiffchaff,Phylloscopus collybita,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
282,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Willow warbler,Phylloscopus trochilus,Bird,,PCR,B. burgdorferi s.l.,,,Yes,21,0,0.00,23,1,0.04,0,NA,NA,,,,,,No,,Migratory birds,,44,1,0.02,H,Yes
283,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Dunnock,Prunella modularis,Bird,,PCR,B. burgdorferi s.l.,,,Yes,3,0,0.00,20,2,0.10,0,NA,NA,,,,,,No,,Migratory birds,,23,2,0.09,H,Yes
284,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Common starling,Sturnus vulgaris,Bird,,PCR,B. burgdorferi s.l.,,,Yes,1,0,0.00,0,NA,NA,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
285,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Eurasian blackcap,Sylvia atricapilla,Bird,,PCR,B. burgdorferi s.l.,,,Yes,10,0,0.00,6,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,16,0,0.00,H,Yes
286,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Garden warbler,Sylvia borin,Bird,,PCR,B. burgdorferi s.l.,,,Yes,0,NA,NA,1,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,1,0,0.00,H,Yes
287,"Kjelland et al., 2010",Southern Norway,Norway,No,,April - June and July - November 2008,Whitethroat,Sylvia communis,Bird,,PCR,B. burgdorferi s.l.,,,Yes,32,1,0.03,22,0,0.00,0,NA,NA,,,,,,No,,Migratory birds,,54,1,0.02,H,Yes
